PERIODO,MAT_CUR,CAMPUS_ALUMNO,BLOQUE,ID_ALUMNO,CALIFICACIONES_ALUMNO,CALIFICACIONES_EXIGIBLES,CALIFICACIONES_CURSO,RANGO_CALIFICACIONES,PORC_CALIFICACIONES_EXIGIBLES,PORC_CALIFICACIONES_REALIZADAS,ULTIMA_ENTREGA_ALUMNO,ULTIMA_CALIFICACION_CURSO,ASISTENCIA,HRS_ACCESO,DIAS_ACCESO,PRIMER_ACCESO_ALUMNO_CURSO,ULTIMO_ACCESO_ALUMNO_CURSO,ULTIMO_ACCESO_ALUMNO_PERIODO,ULTIMO_ACCESO_CURSO,INICIO_CURSO,FIN_CURSO,NRC,LC,ID_INST
202100,CMMU-853,CFP PIURA,,240699,4,0,8, 00 -  00,,0.5,,11/19/2021,0,0,2,11/03/2021,11/18/2021,11/18/2021,11/18/2021,10/25/2021,10/31/2021,,AJ,
202100,CMMU-853,CFP PIURA,,286211,4,0,8, 00 -  00,,0.5,,11/19/2021,1,0,1,11/08/2021,11/08/2021,12/05/2021,11/08/2021,10/25/2021,10/31/2021,,AJ,
202103,PIAC-202,CFP TALARA,,627701,12,0,23, 00 -  00,,0.52,,8/20/2021,,0,2,5/19/2021,8/23/2021,11/16/2021,8/23/2021,4/21/2021,5/17/2021,,AI,
202114,PIAC-303,CFP SULLANA,04PIACM301,1255093,2,9,11, 00 -  00,0.22,0.18,,12/06/2021,1,0,3,12/02/2021,12/07/2021,12/07/2021,12/07/2021,11/30/2021,12/28/2021,,AD,
202120,NAID-352,CFP TUMBES,01NAIDE301,1189311,8,0,9, 00 -  00,,0.89,,12/09/2021,0,201.4,4,8/10/2021,9/07/2021,10/18/2021,9/07/2021,7/20/2021,12/10/2021,,A0028,
202120,AMOD-309,CFP TUMBES,01AMODE301,1305142,5,4,9, 00 -  00,1,0.56,,12/06/2021,0.88,4.8,7,10/04/2021,10/26/2021,11/29/2021,10/26/2021,9/30/2021,10/28/2021,,R7,
202120,AMOD-310,CFP TUMBES,01AMODE301,1268996,6,4,10, 00 -  00,1,0.6,,12/06/2021,0,1.3,5,8/22/2021,11/16/2021,11/25/2021,11/16/2021,10/29/2021,12/10/2021,,R8,
202120,NAID-349,CFP TUMBES,01NAIDE301,1189311,7,0,8, 00 -  00,,0.88,,12/04/2021,0,0.1,4,8/10/2021,10/18/2021,10/18/2021,10/18/2021,7/20/2021,12/10/2021,,A0025,
202120,ECCU-204,CFP TUMBES,01EEIDFB02,1369678,6,0,8, 00 -  00,,0.75,,12/09/2021,0,0,1,10/09/2021,10/09/2021,12/01/2021,10/09/2021,8/23/2021,12/30/2021,,A0161,
202100,CCAU-913,CFP TALARA,,199399,0,0,4,,,0,,12/06/2021,1,2.3,1,12/03/2021,12/03/2021,12/06/2021,12/03/2021,11/29/2021,12/05/2021,,FK,
